term,filename,snippet
regret,IOR_R_15_1_753_0237_116r,"Agent, Sharjah. A. C. It is with profound regret that the Political Resident and Consul General, has"
regret,IOR_R_15_2_1668_0007_4r,Dated the 9th December 1932. For information. Deeply regret to announce death of Shaikh Isa of Bahrain.
regret,IOR_R_15_2_1668_0021_11r,New Delhi. No. T-107. Dated 9th December 1932. Regret to announce death of Shaikh Isa of Bahrain
regret,IOR_R_15_2_1733_0003_1r,"Britannic Majesty's Political Agent, BAHREIN. Dear Sir, We regret to report that the above employee died of"
regret,IOR_R_15_2_1733_0027_13r,"No._289_ Date _18.1.45_ [Typewritten] Dear Sir, [Typewritten] We regret to report the death of the above-employee this"
regret,IOR_R_15_2_1733_0039_19r,"18799 ALI BIN AHMED (deceased). Dear Sir, We regret to report the death of the above-named, a"
regret,IOR_R_15_2_1733_0117_58r,"1947. <u>The Adviser to Bahrein Govt.</u> While we regret deeply this most unfortunate incident, we wish to"
regret,IOR_R_15_2_1733_0123_61r,"MUSCATI - DECEASED</u> File 084.5 Dear Sir, We regret to have to inform you of the death"
slave,IOR_R_15_1_208_0029_7r,1925. A.C. I beg to state that a slave of Suwahil named Almas took refuge at the
slave,IOR_R_15_1_208_0029_7r,engaged him in diving. Maftul died and the slave became a property of his son Khalifah. The
slave,IOR_R_15_1_208_0029_7r,others in regard to the manumission of the slave by his master. I found out that some
slave,IOR_R_15_1_208_0031_8r,"Ibrahim, Chief of Umm-ul-Qaivain that I was his slave. The Shaikh directed us to the Shara for"
slave,IOR_R_15_1_208_0031_8r,gave evidence that Khalifah bin Maftul manumitted his slave when he was alive. The man told the
slave,IOR_R_15_1_208_0031_8r,told the people to give evidence that his slave has been manumitted for the sake of God
slave,IOR_R_15_1_212_0030_12r,"xxxxxxxxxxxxxx] got me married to a certain Sorur, slave of Alya bint Ahmad bin Abdullah of Umm"
slave,IOR_R_15_1_212_0048_21r,of Debai who got me married to his slave named Faidoh who is still my wife and
slave,IOR_R_15_1_212_0068_31r,"July 1939 from the Residency Agent, Sharjah. | Slave Maryam bint Mabrook. ------"
slave,IOR_R_15_1_212_0070_32r,"his house. Maryam is the daughter of Mabrook, slave of the sons of Habib, who was manumitted"
slave,IOR_R_15_1_212_0070_32r,is a free born person and not a slave of anyone. The Ruler of Dubai sent a
slave,IOR_R_15_1_212_0070_32r,told Abdul Karim that he had a young slave for sale. Abdul Karim took him to Sa'ad
slave,IOR_R_15_1_212_0072_33r,he knew anyone who wanted to purchase a slave. Abdul Karim told him that he was a
slave,IOR_R_15_1_212_0074_34r,known to be one of the slave dealers. 5. The Sheikh of Debai sent after
slave,IOR_R_15_1_212_0076_35r,"sold one Maryam daughter of Mabrook, a manumitted slave, for Rs 400/- through one Abdul Karim of"
slave,IOR_R_15_1_212_0076_35r,Reza informed the Ruler of Debai of this slave trading. The ruler of Debai traced Reza bin
slave,IOR_R_15_1_212_0082_38r,"the bearer of this letter, Sharifah bint Bilal, slave of the late Ahmad bin Lutah, has come"
slave,IOR_R_15_1_212_0090_42r,"Usual Ending. Statement made by Sharifah bint Bilal, slave of Ahmad bin Lutah, aged about 25 years."
