IOR REF	Folio	Date	Author/Officer	Subject	Recipient	Doc Type	Language(s)	Description	QDL Link
IOR/R/15/1/753	116r	26 January 1901	W.S. Davis	Queen Victoria	Abd al-Latif bin Abd al-Rahman	Death announcement	EN/AR	Announces Queen Victoria's death to Residency Agent; instructs flag at half-mast.	https://www.qdl.qa/en/archive/81055/vdc_100023443147.0x000026
IOR/R/15/1/753	116v	26 January 1901	W.S. Davis	Queen Victoria	Abd al-Latif bin Abd al-Rahman	Death announcement	EN/AR	Continuation: announces proclamation of King Edward VII; orders communication to Trucial Chiefs.	https://www.qdl.qa/en/archive/81055/vdc_100023443147.0x000027
IOR/R/15/1/753	118r	1 Feb 1901	Secretary to Govt of India, Home Dept, Calcutta	Queen Victoria	Resident, Persian Gulf, Bushire	Mourning order	EN	Telegram from Govt of India dictating deep/half mourning periods and crape armbands for Queen Victoria's death.	https://www.qdl.qa/en/archive/81055/vdc_100023443147.0x00002a
IOR/R/15/1/753	46r	March 1901	W.S. Davis	Queen Victoria	Abd al-Latif bin Abd al-Rahman	Mourning order	EN/AR	Forwards 2 quires of black-edged paper for official mourning correspondence until 24 July 1901.	https://www.qdl.qa/en/archive/81055/vdc_100023443146.0x00005c
IOR/R/15/1/753	48r	2 Mar 1901	W.S. Davis		Abd al-Latif bin Abd al-Rahman	Proclamation	EN/AR	Encloses proclamation forbidding slave traffic; orders publication per 1873 directive.	https://www.qdl.qa/en/archive/81055/vdc_100023443146.0x000060
IOR/R/15/1/753	112r	23 Apr 1900	W.S. Davis	Ibrahim bin Isa Hyderabadi	Abd al-Latif bin Abd al-Rahman	Dispute settlement	EN/AR	Informs complainant Ibrahim bin Isa that Shaikh Maktoum's terms for house rent do not warrant British intervention.	https://www.qdl.qa/en/archive/81055/vdc_100023443147.0x00001e
IOR/R/15/1/753	113r	28 Apr 1900	W.S. Davis	Jowher bin Nasib	Abd al-Latif bin Abd al-Rahman	Dispute settlement	EN/AR	Directs assistance to Jowhar bin Nasib (liberated slave) for his claims against people on the Arab coast.	https://www.qdl.qa/en/archive/81055/vdc_100023443147.0x000020
IOR/R/15/1/753	114r	28 Apr 1900	W.S. Davis	Jowher bin Nasib	Abd al-Latif bin Abd al-Rahman	Dispute settlement	EN/AR	Acknowledges letter on Jowhar bin Nasib; instructs Agent not to interfere as he is not a British subject.	https://www.qdl.qa/en/archive/81055/vdc_100023443147.0x000020
IOR/R/15/1/753	211r	9 Sep 1901	W.S. Davis		Abd al-Latif bin Abd al-Rahman	Revolt	EN/AR	Acknowledges report of apprehended revolt in Ras-el-Khaimah; advises that time is not yet ripe for warning.	https://www.qdl.qa/en/archive/81055/vdc_100023443148.0x000024
IOR/R/15/1/753	211v	9 Sep 1901	W.S. Davis		Abd al-Latif bin Abd al-Rahman	Revolt	EN/AR	Continuation: Resident decides no immediate warning is needed as revolt is not yet evident.	https://www.qdl.qa/en/archive/81055/vdc_100023443148.0x000024
IOR/R/15/1/753	144r	26 Nov 1900	W.S. Davis		Abd al-Latif bin Abd al-Rahman	Dispute settlement	EN/AR	Acknowledges affray on Sir bu Nayer island; instructs non-interference as parties are subjects of Sharjah.	https://www.qdl.qa/en/archive/81055/vdc_100023443147.0x000062
IOR/R/15/1/753	167r	8 Apr 1901	W.S. Davis		Abd al-Latif bin Abd al-Rahman	Dispute settlement	EN/AR	Acknowledges ill-treatment of Sharjah boat crew by Baluchis at Rapch; Resident taking necessary action.	https://www.qdl.qa/en/archive/81055/vdc_100023443147.0x000092
