document,sentence,max_similarity,classification,most_similar_document,most_similar_sentence
IOR_R_15_1_208_0029_7r,Maftul died and the slave became a property of his son Khalifah.,0.4,singular/unique,IOR_R_15_2_1733_0033_16r,He died in the Hospital at 5.30 A.M.
IOR_R_15_1_208_0029_7r,The latter manumitted him for the sake of God in his lifetime in the presence of some people of Umm-ul-Qaiwain.,0.485,singular/unique,IOR_R_15_1_208_0031_8r,to the fact that he has manumitted me for the sake of God.
IOR_R_15_1_208_0029_7r,"After sometime Khalifah died but now some of Khalifah's heirs have complained to Shaikh Hamad bin Ibrahim, Chief of Umm-ul-Qaiwain, against him.",0.649,singular/unique,IOR_R_15_1_208_0031_8r,"Khalifah died and after his death his brother complained to Hamad bin Ibrahim, Chief of Umm-ul-Qaivain that I was his slave."
IOR_R_15_1_208_0029_7r,The man engaged me in diving and after some years my master Maftul died and I was transferred to his son Khalifah.,0.549,singular/unique,IOR_R_15_1_212_0173_83v,At the end of the diving season I heard that my master had died and that his heirs intend to sell me.
IOR_R_15_1_208_0029_7r,Two years after the death of his father Khalifah invited a party of men of Umm-ul-Qaiwain and asked them to give evidence,0.416,singular/unique,IOR_R_15_2_1733_0039_19r,"Dear Sir, We regret to report the death of the above-named, a native of Qatar who was in our employ."
IOR_R_15_1_208_0031_8r,to the fact that he has manumitted me for the sake of God.,0.485,singular/unique,IOR_R_15_1_208_0029_7r,The latter manumitted him for the sake of God in his lifetime in the presence of some people of Umm-ul-Qaiwain.
IOR_R_15_1_208_0031_8r,"Khalifah died and after his death his brother complained to Hamad bin Ibrahim, Chief of Umm-ul-Qaivain that I was his slave.",0.627,singular/unique,IOR_R_15_1_208_0029_7r,"After sometime Khalifah died but now some of Khalifah's heirs have complained to Shaikh Hamad bin Ibrahim, Chief of Umm-ul-Qaiwain, against him."
IOR_R_15_1_208_0031_8r,"------- Praise be to God of the world and peace may be on the best of messengers our Lord Muhammad, His decendants and followers Witnesses gave evidence that Khalifah bin Maftul manumitted his slave when he was alive.",0.37,singular/unique,IOR_R_15_1_212_0159_76v,"He took him, so that he may not fall into the hands of beduins or others, out of mercy and with the intention of manumitting him."
IOR_R_15_1_208_0031_8r,The man told the people to give evidence that his slave has been manumitted for the sake of God and if anyone changed his decision after having been witness thereunto the sin shall rest on those who would alter his decision.,0.448,singular/unique,IOR_R_15_1_208_0029_7r,The latter manumitted him for the sake of God in his lifetime in the presence of some people of Umm-ul-Qaiwain.
IOR_R_15_1_212_0070_32r,"Maryam is the daughter of Mabrook, slave of the sons of Habib, who was manumitted and died 7 years ago.",0.41,singular/unique,IOR_R_15_1_208_0031_8r,to the fact that he has manumitted me for the sake of God.
IOR_R_15_1_212_0076_35r,"_Secretary,_ The following is the gist of this case:- One Reza Habib Mari, Iranian subject, sold one Maryam daughter of Mabrook, a manumitted slave, for Rs 400/- through one Abdul Karim of Anezah tribe, subject of H.",0.35,singular/unique,IOR_R_15_1_208_0031_8r,to the fact that he has manumitted me for the sake of God.
IOR_R_15_1_212_0082_38r,"------------------ After the death of my master, Ahmad bin Lutah, my three brothers namely Ghanim, Said and Bilal, my sister Ghazal bint Suwahil aged about 10 years and myself were living in a house at Ajman.",0.373,singular/unique,IOR_R_15_1_212_0143_68v,"After 7 years my master went to Debai and resided at Dairah, where he lived 6 years and then died."
IOR_R_15_1_212_0143_68v,"After 7 years my master went to Debai and resided at Dairah, where he lived 6 years and then died.",0.44,singular/unique,IOR_R_15_1_212_0175_84v,When I was away at the pearl banks this year my master died and on my return from diving I was told that my master had died and that his heirs intend to sell me.
IOR_R_15_1_212_0143_68v,I stayed two years with Abdullah after which he died.,0.417,singular/unique,IOR_R_15_2_1733_0131_65r,"The Company removed him to the Mission Hospital, Manamah, where he died about half an hour."
IOR_R_15_1_212_0159_76v,"He took him, so that he may not fall into the hands of beduins or others, out of mercy and with the intention of manumitting him.",0.387,singular/unique,IOR_R_15_2_56_0062_24r,Shaikh Abdulla bin Isa called in the afternoon to express his father's condolence (and his own) with Government and with Mr.
IOR_R_15_1_212_0173_83v,He used to take my earnings and 3 months ago my master died when I was away at the pearl banks.,0.507,singular/unique,IOR_R_15_1_208_0029_7r,The man engaged me in diving and after some years my master Maftul died and I was transferred to his son Khalifah.
IOR_R_15_1_212_0173_83v,At the end of the diving season I heard that my master had died and that his heirs intend to sell me.,0.664,singular/unique,IOR_R_15_1_212_0175_84v,When I was away at the pearl banks this year my master died and on my return from diving I was told that my master had died and that his heirs intend to sell me.
IOR_R_15_1_212_0173_83v,Three months ago my master died when I was away at the pearl banks.,0.472,singular/unique,IOR_R_15_1_212_0247_120v,"About three years ago Salim bin Sa'id al Kanni died while his wife was my step-daughter, Kalthoom bin Khalifah."
IOR_R_15_1_212_0173_83v,On my return from diving I was told that my master had died and that his heirs intend to sell me.,0.752,formula/template,IOR_R_15_1_212_0175_84v,When I was away at the pearl banks this year my master died and on my return from diving I was told that my master had died and that his heirs intend to sell me.
IOR_R_15_1_212_0175_84v,When I was away at the pearl banks this year my master died and on my return from diving I was told that my master had died and that his heirs intend to sell me.,0.752,formula/template,IOR_R_15_1_212_0173_83v,On my return from diving I was told that my master had died and that his heirs intend to sell me.
IOR_R_15_1_212_0245_119v,"My mother, Sa'dah, my brothers Hareb and Anbar and myself were originally the slaves of Sa'id bin Obaid al Kanni of Ras al Khaimah who died about 4 years ago but who before his death set me and my mother free but my brothers Hareb and Anbar remained in the service of 'Alya bint Isa bin Buti wife of Khalifah bin Abdulla of Ras al Khaimah.",0.323,singular/unique,IOR_R_15_2_1733_0115_57r,"Dear Sir, _PITCH-POND ACCIDENT._ For purposes of record we give hereunder a summary of the accident at the Refinery Pitch-pond, which resulted in the death of Hassan bin Abdulla of Sitra."
IOR_R_15_1_212_0247_120v,"About three years ago Salim bin Sa'id al Kanni died while his wife was my step-daughter, Kalthoom bin Khalifah.",0.427,singular/unique,IOR_R_15_1_212_0173_83v,Three months ago my master died when I was away at the pearl banks.
IOR_R_15_1_753_0061_31r,"The Resident regrets _to receive the_ news of your illness, and asks you to come to Bushire, so that the Residency Surgeon may examine you and - report on _the_ state of your health.",0.351,singular/unique,IOR_R_15_5_19_0063_32r,My telegram 144 fulstop on receipt of the news of Shaikh Jabirs death I sent for Mullah Salih and ascertained that Shaikh Salim wd succeed subject to the approval of the British Govt.
IOR_R_15_1_753_0093_47r,"I have received your letter No 68, dated 12th August 1900, re- porting the death of Sheikh Humeid bin Abdulla Chief of Ras- -al-Kheimah .",0.439,singular/unique,IOR_R_15_2_1733_0039_19r,"Dear Sir, We regret to report the death of the above-named, a native of Qatar who was in our employ."
IOR_R_15_1_753_0237_116r,"It is with profound regret that the Political Resident and Consul General, has directed me to announce to you the death on the 22nd January 1901, of Her Most Gracious Majesty Queen Victoria, Queen of the United Kingdom of Great Britain and Ireland and Empress of India.",0.314,singular/unique,IOR_R_15_2_1733_0039_19r,"Dear Sir, We regret to report the death of the above-named, a native of Qatar who was in our employ."
IOR_R_15_2_1293_0007_4r,Death of a Bahreini subject named Alwiyah bint Shabib.,0.42,singular/unique,IOR_R_15_2_1293_0021_11r,Subject:- Deceased Mohammed Saleh al Bahraini.
IOR_R_15_2_1293_0021_11r,Subject:- Deceased Mohammed Saleh al Bahraini.,0.44,singular/unique,IOR_R_15_2_1293_0007_4r,Death of a Bahreini subject named Alwiyah bint Shabib.
IOR_R_15_2_1293_0021_11r,"This Mutasarrifiyah presents its compliments to H.B.M.'s Consulate General in Basrah, and has the honour to inform the Consulate that the authorities concerned had sent to her the Death Certificate of the man called Mohammed Saleh al Bahraini (Bahrain subject) which is enclosed herewith, from which it appears that the man mentioned above had died in Basra hospital suffering from Meningitis and was in possession of a passport No.",0.284,singular/unique,IOR_R_15_2_1733_0027_13r,"[Handwritten] Bahrain Receipt No._289_ Date _18.1.45_ [Typewritten] Dear Sir, [Typewritten] We regret to report the death of the above-employee this morning in the Mission Hospital, of Dysentery."
IOR_R_15_2_1293_0021_11r,The above Department concerned had managed to trace some belongings apertaining to the deceased which were kept under safe custody of the Margil Police Station House Officer (Docks) a list of which is sent herewith.,0.368,singular/unique,IOR_R_15_1_753_0061_31r,"The Resident regrets _to receive the_ news of your illness, and asks you to come to Bushire, so that the Residency Surgeon may examine you and - report on _the_ state of your health."
IOR_R_15_2_1293_0021_11r,Further investigation showed that the deceased had no relations or next of kin in Basra.,0.455,singular/unique,IOR_R_15_1_212_0173_83v,At the end of the diving season I heard that my master had died and that his heirs intend to sell me.
IOR_R_15_2_1293_0035_18r,"and has the honour to forward, for disposal, a list embodying names of Indians and subjects of British Protectorates who died in Kerbala during the month of May 1949, together with 14 death and burial certificates.",0.365,singular/unique,IOR_R_15_2_1293_0041_21r,"_1769_ ( _31/2/2_ ) Copy for information and necessary action together with death _and_ burial certificate of Fatima Haj Ali, to:- The Political Agent, _/_ Bahrain."
IOR_R_15_2_1293_0035_18r,"$\frac{1625}{(31/2/2)}$ Copy for information and necessary action together with death and burial certificate of Sadiqa bint Haj Muhammad to:- The Political Agent, Bahrein.",0.848,formula/template,IOR_R_15_2_1293_0041_21r,"_1769_ ( _31/2/2_ ) Copy for information and necessary action together with death _and_ burial certificate of Fatima Haj Ali, to:- The Political Agent, _/_ Bahrain."
IOR_R_15_2_1293_0041_21r,"The Mutasarifiya of Kerbala Liwa present its compliments to the esteemed British Embassy, Consular Section, Bagdad, and has the honour to forward a list embodying the names of Indians and subjects of British Protectorates who died in Kerbala during the month of June 1949, together with 8 copies of death and burial _sertificates_ issued in their names.",0.335,singular/unique,IOR_R_15_1_212_0175_84v,When I was away at the pearl banks this year my master died and on my return from diving I was told that my master had died and that his heirs intend to sell me.
IOR_R_15_2_1293_0041_21r,"_1769_ ( _31/2/2_ ) Copy for information and necessary action together with death _and_ burial certificate of Fatima Haj Ali, to:- The Political Agent, _/_ Bahrain.",0.842,formula/template,IOR_R_15_2_1293_0035_18r,"$\frac{1625}{(31/2/2)}$ Copy for information and necessary action together with death and burial certificate of Sadiqa bint Haj Muhammad to:- The Political Agent, Bahrein."
IOR_R_15_2_1293_0051_26r,"NOTE The Mutasarrifiyah of Kerbala Liwa presents its compliments to the Consular Section, British Embassy, Baghdad, and has the honour to forward herewith, for disposal, a list of Indians and Pakistanis and subjects of the British Protectorates who died in Kerbala during the month of October 1949, together with 13 copies of death and burial certificates and Pilgrim Passes in respect of the individuals indicated in items 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13.",0.401,singular/unique,IOR_R_15_2_1293_0041_21r,"The Mutasarifiya of Kerbala Liwa present its compliments to the esteemed British Embassy, Consular Section, Bagdad, and has the honour to forward a list embodying the names of Indians and subjects of British Protectorates who died in Kerbala during the month of June 1949, together with 8 copies of death and burial _sertificates_ issued in their names."
