filename,mourning,administrative_neutral,trafficking_enforcement,monetary_valuation,dominant_category,total_hits
IOR_R_15_1_208_0029_7r,0,1,12,3,trafficking_enforcement,16
IOR_R_15_1_208_0031_8r,0,0,11,0,trafficking_enforcement,11
IOR_R_15_1_208_0033_9r,0,2,5,0,trafficking_enforcement,7
IOR_R_15_1_208_0034_9v,0,1,2,0,trafficking_enforcement,3
IOR_R_15_1_208_0035_10r,0,2,4,0,trafficking_enforcement,6
IOR_R_15_1_212_0028_11r,0,0,8,2,trafficking_enforcement,10
IOR_R_15_1_212_0030_12r,0,0,1,2,monetary_valuation,3
IOR_R_15_1_212_0048_21r,0,0,4,5,monetary_valuation,9
IOR_R_15_1_212_0068_31r,0,1,1,0,administrative_neutral,2
IOR_R_15_1_212_0070_32r,0,0,5,7,monetary_valuation,12
IOR_R_15_1_212_0072_33r,0,0,2,13,monetary_valuation,15
IOR_R_15_1_212_0074_34r,0,5,1,1,administrative_neutral,7
IOR_R_15_1_212_0076_35r,0,3,3,3,administrative_neutral,9
IOR_R_15_1_212_0080_37r,0,1,0,0,administrative_neutral,1
IOR_R_15_1_212_0082_38r,0,0,3,0,trafficking_enforcement,3
IOR_R_15_1_212_0084_39r,0,3,3,1,administrative_neutral,7
IOR_R_15_1_212_0086_40r,0,5,2,0,administrative_neutral,7
IOR_R_15_1_212_0088_41r,0,1,0,0,administrative_neutral,1
IOR_R_15_1_212_0090_42r,0,2,1,1,administrative_neutral,4
IOR_R_15_1_212_0092_43r,0,1,4,4,trafficking_enforcement,9
IOR_R_15_1_212_0094_44r,0,0,2,3,monetary_valuation,5
IOR_R_15_1_212_0096_45r,0,2,2,0,administrative_neutral,4
IOR_R_15_1_212_0111_52v,0,0,5,3,trafficking_enforcement,8
IOR_R_15_1_212_0143_68v,0,0,2,2,trafficking_enforcement,4
IOR_R_15_1_212_0151_72v,0,0,11,0,trafficking_enforcement,11
IOR_R_15_1_212_0153_73v,0,1,7,0,trafficking_enforcement,8
IOR_R_15_1_212_0155_74v,0,1,2,1,trafficking_enforcement,4
IOR_R_15_1_212_0157_75v,0,0,1,1,trafficking_enforcement,2
IOR_R_15_1_212_0159_76v,0,0,4,0,trafficking_enforcement,4
IOR_R_15_1_212_0161_77v,0,0,0,7,monetary_valuation,7
IOR_R_15_1_212_0163_78v,0,2,3,2,trafficking_enforcement,7
IOR_R_15_1_212_0165_79v,0,2,0,0,administrative_neutral,2
IOR_R_15_1_212_0173_83v,0,0,5,0,trafficking_enforcement,5
IOR_R_15_1_212_0175_84v,0,0,9,3,trafficking_enforcement,12
IOR_R_15_1_212_0201_97v,0,0,9,2,trafficking_enforcement,11
IOR_R_15_1_212_0245_119v,0,1,1,1,administrative_neutral,3
IOR_R_15_1_212_0247_120v,0,3,3,7,monetary_valuation,13
IOR_R_15_1_212_0249_121v,0,2,0,0,administrative_neutral,2
IOR_R_15_1_212_0311_152v,0,0,0,1,monetary_valuation,1
IOR_R_15_1_212_0415_back-i,0,0,0,0,none,0
IOR_R_15_1_753_0061_31r,0,1,0,0,administrative_neutral,1
IOR_R_15_1_753_0091_46r,0,0,0,0,none,0
IOR_R_15_1_753_0093_47r,0,0,0,0,none,0
IOR_R_15_1_753_0094_47v,0,0,0,0,none,0
IOR_R_15_1_753_0095_48r,0,0,3,0,trafficking_enforcement,3
IOR_R_15_1_753_0229_112r,0,1,0,0,administrative_neutral,1
IOR_R_15_1_753_0231_113r,0,0,1,0,trafficking_enforcement,1
IOR_R_15_1_753_0233_114r,0,1,0,0,administrative_neutral,1
IOR_R_15_1_753_0237_116r,2,0,0,0,mourning,2
IOR_R_15_1_753_0238_116v,0,0,0,0,none,0
IOR_R_15_1_753_0241_118r,2,0,0,0,mourning,2
IOR_R_15_1_753_0297_144r,0,1,0,0,administrative_neutral,1
IOR_R_15_1_753_0345_167r,0,2,0,0,administrative_neutral,2
IOR_R_15_1_753_0435_211r,0,1,1,0,administrative_neutral,2
IOR_R_15_1_753_0436_211v,0,0,0,0,none,0
IOR_R_15_1_753_0493_240r,0,2,0,1,administrative_neutral,3
IOR_R_15_1_753_0495_241r,0,0,0,0,none,0
IOR_R_15_1_753_0517_252r,0,0,0,0,none,0
IOR_R_15_1_753_0518_252v,0,0,1,0,trafficking_enforcement,1
IOR_R_15_1_753_0561_274r,0,1,0,1,administrative_neutral,2
IOR_R_15_1_753_0563_275r,0,0,0,0,none,0
IOR_R_15_1_753_0565_276r,0,0,0,0,none,0
IOR_R_15_2_1050_0289_145r,0,0,0,2,monetary_valuation,2
IOR_R_15_2_1050_0291_146r,0,2,0,0,administrative_neutral,2
