document,term,intensified,intensifier,snippet
IOR_R_15_1_753_0237_116r,regret,True,profound,is with profound regret that the Political
IOR_R_15_1_753_0241_118r,mourning,True,deep,remain in deep mourning up to March
IOR_R_15_1_753_0241_118r,mourning,False,,and in half mourning up to April
IOR_R_15_2_1668_0007_4r,regret,True,deeply,For information. Deeply regret to announce death
IOR_R_15_2_1668_0021_11r,regret,False,,9th December 1932. Regret to announce death
IOR_R_15_2_1668_0021_11r,condolences,True,sincere,Shaikh Hamad sincere condolences of His Excellency
IOR_R_15_2_1733_0003_1r,regret,False,,"Dear Sir, We regret to report that"
IOR_R_15_2_1733_0027_13r,regret,False,,"Sir, [Typewritten] We regret to report the"
IOR_R_15_2_1733_0039_19r,regret,False,,"Dear Sir, We regret to report the"
IOR_R_15_2_1733_0117_58r,regret,True,deeply,Govt.</u> While we regret deeply this most
IOR_R_15_2_1733_0123_61r,regret,False,,"Dear Sir, We regret to have to"
IOR_R_15_2_56_0060_23r,condolence,False,,to express their condolence with the Govern-
IOR_R_15_2_56_0060_23r,sympathy,True,great,sad breavement. Great sympathy was shown by
IOR_R_15_2_56_0062_24r,condolence,False,,express his father's condolence (and his own)
IOR_R_15_2_56_0062_24r,condolence,False,,to express their condolence. The gentlemen of
IOR_R_15_2_56_0062_24r,tragic,False,,The sudden and tragic news has shocked
IOR_R_15_2_56_0062_24r,shocked,False,,tragic news has shocked everyone. 54. Reports
IOR_R_15_5_19_0119_60r,shocked,False,,and was greatly shocked by his appearance.
